model,scheme,seed,alpha,rho,union_area,class_mean_area,max_class_area,sum_class_area,area__person,area__rider,area__bicycle,lam__person,lam__rider,lam__bicycle,degenerate
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,0,0.2,0.5,0.0479398021697998,0.023508145650227866,0.03386400985717773,0.0705244369506836,0.03386400985717773,0.016460817337036134,0.020199609756469727,0.985,0.998,0.992,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,1,0.2,0.5,0.044164033889770506,0.021612690607706708,0.030614315032958986,0.06483807182312012,0.030614315032958986,0.01642720603942871,0.017796550750732422,0.98,0.998,0.99,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,2,0.2,0.5,0.051298496246337894,0.025128840764363603,0.03700040626525879,0.07538652229309081,0.03700040626525879,0.017207376480102538,0.021178739547729492,0.986,0.998,0.993,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,3,0.2,0.5,0.04983712196350098,0.026200593312581382,0.03232909774780274,0.07860177993774414,0.03232909774780274,0.021625431060791015,0.02464725112915039,0.986,0.999,0.996,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,4,0.2,0.5,0.049275751113891604,0.024289942423502603,0.03677324485778809,0.07286982727050781,0.03677324485778809,0.01503868293762207,0.021057899475097657,0.989,0.998,0.994,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,5,0.2,0.5,0.05033094215393066,0.024585554122924805,0.03720457458496094,0.07375666236877441,0.03720457458496094,0.017313541412353514,0.019238546371459962,0.986,0.998,0.99,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,6,0.2,0.5,0.04817060470581055,0.024065049489339196,0.03414090347290039,0.07219514846801758,0.03414090347290039,0.016876630783081055,0.021177614212036133,0.986,0.998,0.993,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,7,0.2,0.5,0.04966354751586914,0.024575693130493164,0.03472821235656738,0.07372707939147949,0.03472821235656738,0.01744278335571289,0.021556083679199218,0.984,0.998,0.993,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,8,0.2,0.5,0.04695474243164063,0.02280561129252116,0.033144931793212894,0.06841683387756348,0.033144931793212894,0.01577753448486328,0.019494367599487306,0.981,0.998,0.993,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,9,0.2,0.5,0.04444012641906738,0.02130733680725098,0.031079833984375,0.06392201042175293,0.031079833984375,0.013859416961669922,0.01898275947570801,0.983,0.997,0.993,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,10,0.2,0.5,0.04932565879821777,0.024374448140462242,0.03524164581298828,0.07312334442138671,0.03524164581298828,0.017281234741210936,0.0206004638671875,0.986,0.998,0.992,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,11,0.2,0.5,0.053890714645385744,0.027753289540608725,0.03780514144897461,0.08325986862182617,0.03780514144897461,0.022269676208496094,0.02318505096435547,0.987,0.999,0.995,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,12,0.2,0.5,0.04823846435546875,0.023789712905883786,0.03556802940368652,0.07136913871765137,0.03556802940368652,0.016808658599853515,0.018992450714111327,0.989,0.998,0.99,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,13,0.2,0.5,0.053866079330444336,0.027628726959228512,0.04104994392395019,0.08288618087768554,0.04104994392395019,0.021566089630126954,0.0202701473236084,0.989,0.999,0.992,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,14,0.2,0.5,0.05128868103027344,0.025086060841878255,0.035403091430664065,0.07525818252563476,0.035403091430664065,0.017544675827026367,0.022310415267944337,0.986,0.998,0.993,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,15,0.2,0.5,0.04855495262145996,0.024106733957926434,0.03619637489318848,0.0723202018737793,0.03619637489318848,0.016708215713500976,0.019415611267089843,0.988,0.998,0.992,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,16,0.2,0.5,0.04773136901855469,0.02370226860046386,0.03507497406005859,0.0711068058013916,0.03507497406005859,0.01656049919128418,0.019471332550048827,0.986,0.998,0.991,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,17,0.2,0.5,0.04215805244445801,0.020305789947509766,0.029507726669311524,0.060917369842529295,0.029507726669311524,0.014420886993408204,0.01698875617980957,0.983,0.998,0.991,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,18,0.2,0.5,0.05577963066101074,0.028953327814737955,0.04032986831665039,0.08685998344421386,0.04032986831665039,0.02294021224975586,0.023589902877807618,0.989,0.999,0.994,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,19,0.2,0.5,0.052791437149047854,0.026022994359334306,0.03838125991821289,0.07806898307800293,0.03838125991821289,0.0180205078125,0.02166721534729004,0.988,0.998,0.992,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,20,0.2,0.5,0.053655406951904294,0.026407451629638673,0.04012340545654297,0.07922235488891602,0.04012340545654297,0.01784886932373047,0.02125008010864258,0.99,0.998,0.99,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,21,0.2,0.5,0.048215818405151364,0.02405836804707845,0.033671089172363285,0.07217510414123535,0.033671089172363285,0.01692000389099121,0.021584011077880858,0.985,0.998,0.993,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,22,0.2,0.5,0.04792682266235351,0.024425310134887693,0.0324349422454834,0.07327593040466308,0.0324349422454834,0.018251518249511718,0.02258946990966797,0.985,0.998,0.993,False
segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,23,0.2,0.5,0.05021223640441894,0.02451779810587565,0.03655577087402344,0.07355339431762695,0.03655577087402344,0.016469900131225585,0.02052772331237793,0.986,0.998,0.993,False
