lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images,region_fnr_component_avg
0.971,971,True,0.36850248516915185,0.36850248516915185,0.010938046500086784,12.904,297,763.0,0.272,True,0.43283582089552236,0.1308016877637131,0.0,,,0,person,0.2,0.5,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202,
0.984,984,True,0.3031131420020309,0.3031131420020309,0.014586308971047401,12.904,297,763.0,0.24999999999999994,True,0.35607675906183367,0.09282700421940929,0.0,,,0,person,0.2,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202,
,-1,True,,0.7312556784779007,0.002870937343686819,,500,,,False,,,,,,0,person,0.2,0.5,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,202,0.6828309305373526
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
,-1,True,,0.7631578947368421,0.00016580343071836978,,500,,,False,,,,,,0,rider,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,0.8
0.999,999,True,0.30701754385964913,0.30701754385964913,0.010308507829904556,0.924,38,50.0,0.308,True,0.40540540540540543,0.0,0.0,,,0,rider,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
0.999,999,True,0.30701754385964913,0.30701754385964913,0.010308507829904556,0.924,38,50.0,0.308,True,0.40540540540540543,0.0,0.0,,,0,rider,0.1,0.1,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
0.998,998,True,0.34210526315789475,0.34210526315789475,0.0071279127150774,0.924,38,50.0,0.322,True,0.4594594594594595,0.0,0.0,,,0,rider,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
,-1,True,,0.7631578947368421,0.00016580343071836978,,500,,,False,,,,,,0,rider,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,0.8
0.996,996,True,0.39473684210526316,0.39473684210526316,0.004780984949320555,0.924,38,50.0,0.318,True,0.5135135135135135,0.1,0.0,,,0,rider,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
0.997,997,True,0.35526315789473684,0.35526315789473684,0.0056685092858970165,0.924,38,50.0,0.33,True,0.4594594594594595,0.1,0.0,,,0,rider,0.2,0.1,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
0.995,995,True,0.39473684210526316,0.39473684210526316,0.004187495447695255,0.924,38,50.0,0.31799999999999995,True,0.5135135135135135,0.1,0.0,,,0,rider,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
,-1,True,,0.7631578947368421,0.00016580343071836978,,500,,,False,,,,,,0,rider,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,0.8
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.05,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
,-1,True,,0.8289473684210527,0.00016580343071836978,,500,,,False,,,,,,0,rider,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,0.86
1.0,1000,True,0.0,0.0,1.0,0.924,38,50.0,0.0,False,0.0,0.0,0.0,,,0,rider,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
0.999,999,True,0.3333333333333333,0.3333333333333333,0.010308507829904556,0.924,38,50.0,0.308,True,0.43243243243243246,0.0,0.0,,,0,rider,0.1,0.5,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
0.999,999,True,0.3333333333333333,0.3333333333333333,0.010308507829904556,0.924,38,50.0,0.308,True,0.43243243243243246,0.0,0.0,,,0,rider,0.1,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
,-1,True,,0.8289473684210527,0.00016580343071836978,,500,,,False,,,,,,0,rider,0.1,0.5,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,0.86
0.998,998,True,0.35526315789473684,0.35526315789473684,0.0071279127150774,0.924,38,50.0,0.322,True,0.4594594594594595,0.1,0.0,,,0,rider,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
0.997,997,True,0.3991228070175439,0.3991228070175438,0.0056685092858970165,0.924,38,50.0,0.33,True,0.5135135135135135,0.2,0.0,,,0,rider,0.2,0.5,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
0.998,998,True,0.35526315789473684,0.35526315789473684,0.0071279127150774,0.924,38,50.0,0.322,True,0.4594594594594595,0.1,0.0,,,0,rider,0.2,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,
,-1,True,,0.8289473684210527,0.00016580343071836978,,500,,,False,,,,,,0,rider,0.2,0.5,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,127,0.86
0.999,999,True,0.19236670502493286,0.19236670502493286,0.027170151472091675,0.842,79,174.0,0.14800000000000002,True,0.17391304347826086,0.09090909090909091,0.0,,,0,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.1,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
0.999,999,True,0.19236670502493286,0.19236670502493286,0.027170151472091675,0.842,79,174.0,0.14800000000000002,True,0.17391304347826086,0.09090909090909091,0.0,,,0,bicycle,0.05,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
,-1,True,,0.699060222477944,0.0006734008784405887,,500,,,False,,,,,,0,bicycle,0.05,0.1,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,0.6609195402298851
0.996,996,True,0.29890678941311855,0.29890678941311855,0.014220371842384338,0.842,79,174.0,0.21199999999999997,True,0.33695652173913043,0.13636363636363635,0.0,,,0,bicycle,0.1,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
0.997,997,True,0.29046797084771764,0.2904679708477177,0.01641172543168068,0.842,79,174.0,0.19799999999999995,True,0.31521739130434784,0.13636363636363635,0.0,,,0,bicycle,0.1,0.1,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
0.995,995,True,0.29890678941311855,0.29890678941311855,0.012684470973908901,0.842,79,174.0,0.21999999999999997,True,0.33695652173913043,0.13636363636363635,0.0,,,0,bicycle,0.1,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
,-1,True,,0.699060222477944,0.0006734008784405887,,500,,,False,,,,,,0,bicycle,0.1,0.1,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,0.6609195402298851
0.981,981,True,0.37734944380514,0.37734944380513996,0.006021242588758469,7.558,79,174.0,0.30600000000000005,True,0.43478260869565216,0.19696969696969696,0.0625,,,0,bicycle,0.2,0.1,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
0.982,982,True,0.376198695818949,0.376198695818949,0.006220517214387655,7.558,79,174.0,0.29800000000000004,True,0.43478260869565216,0.18181818181818182,0.0625,,,0,bicycle,0.2,0.1,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
0.981,981,True,0.37734944380514,0.37734944380513996,0.006021242588758469,7.558,79,174.0,0.30600000000000005,True,0.43478260869565216,0.19696969696969696,0.0625,,,0,bicycle,0.2,0.1,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
,-1,True,,0.699060222477944,0.0006734008784405887,,500,,,False,,,,,,0,bicycle,0.2,0.1,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,0.6609195402298851
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
1.0,1000,True,0.0,0.0,1.0,0.842,79,174.0,0.0,False,0.0,0.0,0.0,,,0,bicycle,0.05,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
,-1,True,,0.8030741410488247,0.0006734008784405887,,500,,,False,,,,,,0,bicycle,0.05,0.5,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,0.7701149425287356
0.999,999,True,0.2746451860375911,0.2746451860375911,0.027170151472091675,0.842,79,174.0,0.14800000000000002,True,0.2608695652173913,0.15151515151515152,0.0,,,0,bicycle,0.1,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
0.997,997,True,0.3347717683160721,0.3347717683160721,0.01641172543168068,0.842,79,174.0,0.19799999999999995,True,0.34782608695652173,0.18181818181818182,0.0,,,0,bicycle,0.1,0.5,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
0.998,998,True,0.2925776754890679,0.2925776754890679,0.019939614459872246,0.842,79,174.0,0.18000000000000005,True,0.30434782608695654,0.16666666666666666,0.0,,,0,bicycle,0.1,0.5,heuristic,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
,-1,True,,0.8030741410488247,0.0006734008784405887,,500,,,False,,,,,,0,bicycle,0.1,0.5,argmax,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,0.7701149425287356
0.992,992,True,0.36689681626390486,0.36689681626390486,0.00987063068896532,0.842,79,174.0,0.25199999999999995,True,0.41304347826086957,0.22727272727272727,0.125,,,0,bicycle,0.2,0.5,region_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
0.982,982,True,0.4229957805907173,0.4229957805907173,0.006220517214387655,7.558,79,174.0,0.29800000000000004,True,0.4891304347826087,0.25757575757575757,0.1875,,,0,bicycle,0.2,0.5,pixel_crc,segformer_b2_cityscapes_mcdrop8,cityscapes_val_half,180,
