fnr_boot_lo,fnr_boot_hi,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,1.0,1000,False,0.0,0.0,1.0,0.424,144,371,0.0,False,0.0,0.0,0.0,102.00007438661095,0.7968126914816885,0,person,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,102
,,1.0,1000,False,0.0,0.0,1.0,0.424,144,371,0.0,False,0.0,0.0,0.0,102.00007438661095,0.7968126914816885,0,person,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,102
,,1.0,1000,False,0.0,0.0,1.0,0.424,144,371,0.0,False,0.0,0.0,0.0,102.00007438661095,0.7968126914816885,0,person,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,102
,,1.0,1000,False,0.0,0.0,1.0,0.424,144,371,0.0,False,0.0,0.0,0.0,102.00007438661095,0.7968126914816885,0,person,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,102
,,1.0,1000,False,0.0,0.0,1.0,0.424,144,371,0.0,False,0.0,0.0,0.0,102.00007438661095,0.7968126914816885,0,person,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,102
,,1.0,1000,False,0.0,0.0,1.0,0.424,144,371,0.0,False,0.0,0.0,0.0,102.00007438661095,0.7968126914816885,0,person,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,102
,,1.0,1000,False,0.0,0.0,1.0,0.92,20,26,0.0,False,0.0,0.0,0.0,62.99999475479135,0.863930890867659,0,rider,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,63
,,1.0,1000,False,0.0,0.0,1.0,0.92,20,26,0.0,False,0.0,0.0,0.0,62.99999475479135,0.863930890867659,0,rider,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,63
,,1.0,1000,False,0.0,0.0,1.0,0.92,20,26,0.0,False,0.0,0.0,0.0,62.99999475479135,0.863930890867659,0,rider,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,63
,,1.0,1000,False,0.0,0.0,1.0,0.92,20,26,0.0,False,0.0,0.0,0.0,62.99999475479135,0.863930890867659,0,rider,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,63
,,1.0,1000,False,0.0,0.0,1.0,0.92,20,26,0.0,False,0.0,0.0,0.0,62.99999475479135,0.863930890867659,0,rider,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,63
,,1.0,1000,False,0.0,0.0,1.0,0.92,20,26,0.0,False,0.0,0.0,0.0,62.99999475479135,0.863930890867659,0,rider,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,63
,,1.0,1000,False,0.0,0.0,1.0,0.844,39,90,0.0,False,0.0,0.0,0.0,88.00002336502237,0.8196721119254039,0,bicycle,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,88
,,1.0,1000,False,0.0,0.0,1.0,0.844,39,90,0.0,False,0.0,0.0,0.0,88.00002336502237,0.8196721119254039,0,bicycle,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,88
,,1.0,1000,False,0.0,0.0,1.0,0.844,39,90,0.0,False,0.0,0.0,0.0,88.00002336502237,0.8196721119254039,0,bicycle,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,88
,,1.0,1000,False,0.0,0.0,1.0,0.844,39,90,0.0,False,0.0,0.0,0.0,88.00002336502237,0.8196721119254039,0,bicycle,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,88
,,1.0,1000,False,0.0,0.0,1.0,0.844,39,90,0.0,False,0.0,0.0,0.0,88.00002336502237,0.8196721119254039,0,bicycle,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,88
,,1.0,1000,False,0.0,0.0,1.0,0.844,39,90,0.0,False,0.0,0.0,0.0,88.00002336502237,0.8196721119254039,0,bicycle,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,88
,,1.0,1000,False,0.0,0.0,1.0,0.412,147,359,0.0,False,0.0,0.0,0.0,97.00003743172115,0.8048289460446589,1,person,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,97
,,1.0,1000,False,0.0,0.0,1.0,0.412,147,359,0.0,False,0.0,0.0,0.0,97.00003743172115,0.8048289460446589,1,person,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,97
,,1.0,1000,False,0.0,0.0,1.0,0.412,147,359,0.0,False,0.0,0.0,0.0,97.00003743172115,0.8048289460446589,1,person,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,97
,,1.0,1000,False,0.0,0.0,1.0,0.412,147,359,0.0,False,0.0,0.0,0.0,97.00003743172115,0.8048289460446589,1,person,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,97
,,1.0,1000,False,0.0,0.0,1.0,0.412,147,359,0.0,False,0.0,0.0,0.0,97.00003743172115,0.8048289460446589,1,person,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,97
,,1.0,1000,False,0.0,0.0,1.0,0.412,147,359,0.0,False,0.0,0.0,0.0,97.00003743172115,0.8048289460446589,1,person,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,97
,,1.0,1000,False,0.0,0.0,1.0,0.924,19,23,0.0,False,0.0,0.0,,64.00000691413882,0.8620689548862109,1,rider,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,64
,,1.0,1000,False,0.0,0.0,1.0,0.924,19,23,0.0,False,0.0,0.0,,64.00000691413882,0.8620689548862109,1,rider,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,64
,,1.0,1000,False,0.0,0.0,1.0,0.924,19,23,0.0,False,0.0,0.0,,64.00000691413882,0.8620689548862109,1,rider,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,64
,,1.0,1000,False,0.0,0.0,1.0,0.924,19,23,0.0,False,0.0,0.0,,64.00000691413882,0.8620689548862109,1,rider,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,64
,,1.0,1000,False,0.0,0.0,1.0,0.924,19,23,0.0,False,0.0,0.0,,64.00000691413882,0.8620689548862109,1,rider,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,64
,,1.0,1000,False,0.0,0.0,1.0,0.924,19,23,0.0,False,0.0,0.0,,64.00000691413882,0.8620689548862109,1,rider,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,64
,,1.0,1000,False,0.0,0.0,1.0,0.84,40,87,0.0,False,0.0,0.0,0.0,95.00008344652429,0.8080807458063958,1,bicycle,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,95
,,1.0,1000,False,0.0,0.0,1.0,0.84,40,87,0.0,False,0.0,0.0,0.0,95.00008344652429,0.8080807458063958,1,bicycle,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,95
,,1.0,1000,False,0.0,0.0,1.0,0.84,40,87,0.0,False,0.0,0.0,0.0,95.00008344652429,0.8080807458063958,1,bicycle,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,95
,,1.0,1000,False,0.0,0.0,1.0,0.84,40,87,0.0,False,0.0,0.0,0.0,95.00008344652429,0.8080807458063958,1,bicycle,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,95
,,1.0,1000,False,0.0,0.0,1.0,0.84,40,87,0.0,False,0.0,0.0,0.0,95.00008344652429,0.8080807458063958,1,bicycle,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,95
,,1.0,1000,False,0.0,0.0,1.0,0.84,40,87,0.0,False,0.0,0.0,0.0,95.00008344652429,0.8080807458063958,1,bicycle,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,95
,,1.0,1000,False,0.0,0.0,1.0,0.44,140,364,0.0,False,0.0,0.0,0.0,94.00007486345132,0.8097165429161713,2,person,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,94
,,1.0,1000,False,0.0,0.0,1.0,0.44,140,364,0.0,False,0.0,0.0,0.0,94.00007486345132,0.8097165429161713,2,person,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,94
,,1.0,1000,False,0.0,0.0,1.0,0.44,140,364,0.0,False,0.0,0.0,0.0,94.00007486345132,0.8097165429161713,2,person,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,94
,,1.0,1000,False,0.0,0.0,1.0,0.44,140,364,0.0,False,0.0,0.0,0.0,94.00007486345132,0.8097165429161713,2,person,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,94
,,1.0,1000,False,0.0,0.0,1.0,0.44,140,364,0.0,False,0.0,0.0,0.0,94.00007486345132,0.8097165429161713,2,person,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,94
,,1.0,1000,False,0.0,0.0,1.0,0.44,140,364,0.0,False,0.0,0.0,0.0,94.00007486345132,0.8097165429161713,2,person,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,94
,,1.0,1000,False,0.0,0.0,1.0,0.932,17,20,0.0,False,0.0,0.0,0.0,57.00000047683726,0.8752735174963291,2,rider,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,57
,,1.0,1000,False,0.0,0.0,1.0,0.932,17,20,0.0,False,0.0,0.0,0.0,57.00000047683726,0.8752735174963291,2,rider,0.1,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,57
,,1.0,1000,False,0.0,0.0,1.0,0.932,17,20,0.0,False,0.0,0.0,0.0,57.00000047683726,0.8752735174963291,2,rider,0.2,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,57
,,1.0,1000,False,0.0,0.0,1.0,0.932,17,20,0.0,False,0.0,0.0,0.0,57.00000047683726,0.8752735174963291,2,rider,0.05,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,57
,,1.0,1000,False,0.0,0.0,1.0,0.932,17,20,0.0,False,0.0,0.0,0.0,57.00000047683726,0.8752735174963291,2,rider,0.1,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,57
,,1.0,1000,False,0.0,0.0,1.0,0.932,17,20,0.0,False,0.0,0.0,0.0,57.00000047683726,0.8752735174963291,2,rider,0.2,0.5,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,57
,,1.0,1000,False,0.0,0.0,1.0,0.864,34,84,0.0,False,0.0,0.0,0.0,86.00006937982239,0.8230452125778174,2,bicycle,0.05,0.1,weighted_crc,segformer_b2_cityscapes,cityscapes_val_half,86
