seed,class_name,alpha,rho,method,ranking,budget,residual_region_fnr,lam
0,person,0.2,0.1,region_crc,area,0.5,0.08948673767752714,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.0,0.1596175814925815,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.05,0.1552316165803008,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.1,0.1409988281698808,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.15,0.1319667783483573,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.2,0.12246385437174911,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.25,0.11800479004426373,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.3,0.10349455612613506,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.35,0.09655011168169063,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.4,0.08688184378973851,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.45,0.08315377361429993,0.9430000000000001
0,person,0.2,0.1,region_crc,random,0.5,0.07620932916985548,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.0,0.1596175814925815,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.05,0.11137196745749375,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.1,0.0627425814925815,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.15,0.034385229779966615,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.2,0.01460234453655506,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.25,0.0016338437391068968,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.3,0.0,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.35,0.0,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.4,0.0,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.45,0.0,0.9430000000000001
0,person,0.2,0.1,region_crc,oracle,0.5,0.0,0.9430000000000001
0,person,0.05,0.5,region_crc,area,0.0,0.0,1.0
0,person,0.05,0.5,region_crc,area,0.05,0.0,1.0
0,person,0.05,0.5,region_crc,area,0.1,0.0,1.0
0,person,0.05,0.5,region_crc,area,0.15,0.0,1.0
0,person,0.05,0.5,region_crc,area,0.2,0.0,1.0
0,person,0.05,0.5,region_crc,area,0.25,0.0,1.0
0,person,0.05,0.5,region_crc,area,0.3,0.0,1.0
0,person,0.05,0.5,region_crc,area,0.35,0.0,1.0
0,person,0.05,0.5,region_crc,area,0.4,0.0,1.0
0,person,0.05,0.5,region_crc,area,0.45,0.0,1.0
0,person,0.05,0.5,region_crc,area,0.5,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.0,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.05,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.1,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.15,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.2,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.25,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.3,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.35,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.4,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.45,0.0,1.0
0,person,0.05,0.5,region_crc,random,0.5,0.0,1.0
0,person,0.05,0.5,region_crc,oracle,0.0,0.0,1.0
0,person,0.05,0.5,region_crc,oracle,0.05,0.0,1.0
0,person,0.05,0.5,region_crc,oracle,0.1,0.0,1.0
0,person,0.05,0.5,region_crc,oracle,0.15,0.0,1.0
