fnr_boot_lo,fnr_boot_hi,n_test_clusters,lam,lam_index,feasible,controlled_risk,region_fnr,marked_area_fraction,fp_components_per_image,n_test_images,n_test_components,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,weight_ess,weight_p_test,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
,,,0.978,978,True,0.13614637751812458,0.22185024585107296,0.019841447472572327,13.376,204,1338,0.06400000000000006,False,0.28222523744911804,0.06722689075630252,0.0,,,1,person,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,198
,,,0.736,736,True,0.22053242624596253,0.39274234064868735,0.013200250454246998,3.772,204,1338,0.051999999999999935,False,0.582089552238806,0.1323529411764706,0.008,,,1,person,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,198
,,,1.0,1000,True,0.0,0.0,1.0,0.52,120,336,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,133
,,,0.999,999,True,0.10218392640305692,0.13376581751581754,0.00840777438133955,0.52,120,336,0.09599999999999997,False,0.20418848167539266,0.02830188679245283,0.0,,,1,rider,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,133
,,,0.993,993,True,0.17267346608293987,0.22211136086136085,0.0054907724261283875,0.52,120,336,0.09199999999999997,False,0.3298429319371728,0.09433962264150944,0.0,,,1,rider,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,0.52,120,336,0.0,False,0.0,0.0,0.0,,,1,rider,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,133
,,,1.0,1000,True,0.0,0.0,1.0,0.52,120,336,0.0,False,0.0,0.0,0.0,,,1,rider,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,133
,,,0.997,997,True,0.18265624846887626,0.22404206904206905,0.0065505122765898705,0.52,120,336,0.09200000000000003,False,0.31413612565445026,0.1320754716981132,0.02564102564102564,,,1,rider,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,133
,,,0.998,998,True,0.046570573213409655,0.08368853368853368,0.01701412722468376,0.384,154,790,0.08399999999999996,False,0.1354679802955665,0.01929260450160772,0.0,,,1,bicycle,0.05,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,191
,,,0.974,974,True,0.1225222202758624,0.19598979663914726,0.010395347140729427,5.892,154,790,0.12,False,0.29064039408866993,0.04823151125401929,0.0,,,1,bicycle,0.1,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,191
,,,0.528,528,True,0.20857183755327185,0.3683129821116834,0.006246030796319246,0.884,154,790,0.136,False,0.6650246305418719,0.08681672025723473,0.0,,,1,bicycle,0.2,0.1,region_crc,segformer_b5_cityscapes,cityscapes_val_half,191
,,,1.0,1000,True,0.0,0.0,1.0,0.384,154,790,0.0,False,0.0,0.0,0.0,,,1,bicycle,0.05,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,191
,,,0.991,991,True,0.12139658998912269,0.19384551235200584,0.01245605107396841,0.384,154,790,0.09200000000000003,False,0.2857142857142857,0.05144694533762058,0.0,,,1,bicycle,0.1,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,191
,,,0.834,834,True,0.2090663918384793,0.34664858950573235,0.007758937776088715,1.896,154,790,0.14,False,0.6009852216748769,0.09646302250803858,0.0,,,1,bicycle,0.2,0.5,region_crc,segformer_b5_cityscapes,cityscapes_val_half,191
