lam,feasible,region_fnr,marked_area_fraction,n_test_images,monitor_ks,monitor_flag,fnr_stratum0,fnr_stratum1,fnr_stratum2,seed,class_name,alpha,rho,method,model,scheme,n_cal_images
1.0,True,0.0,1.0,126,0.0,False,0.0,0.0,0.0,0,rider,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
0.999,True,0.12982295482295483,0.017004095017910004,126,0.06000000000000005,False,0.18686868686868688,0.05128205128205128,0.0,0,rider,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,127
,True,0.7093023255813954,0.0016619854141026735,250,,False,,,,0,rider,0.1,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,127
0.997,True,0.19452152785486118,0.012004461139440536,126,0.06000000000000005,False,0.25757575757575757,0.06837606837606838,0.0,0,rider,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
0.998,True,0.17744200244200245,0.013678381219506264,126,0.055999999999999994,False,0.22727272727272727,0.06837606837606838,0.0,0,rider,0.2,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
0.997,True,0.19452152785486118,0.012004461139440536,126,0.06000000000000005,False,0.25757575757575757,0.06837606837606838,0.0,0,rider,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,127
,True,0.7093023255813954,0.0016619854141026735,250,,False,,,,0,rider,0.2,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,True,0.0,1.0,126,0.0,False,0.0,0.0,0.0,0,rider,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,True,0.0,1.0,126,0.0,False,0.0,0.0,0.0,0,rider,0.05,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,True,0.0,1.0,126,0.0,False,0.0,0.0,0.0,0,rider,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,127
,True,0.7703488372093024,0.0016619854141026735,250,,False,,,,0,rider,0.05,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,True,0.0,1.0,126,0.0,False,0.0,0.0,0.0,0,rider,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,True,0.0,1.0,126,0.0,False,0.0,0.0,0.0,0,rider,0.1,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,True,0.0,1.0,126,0.0,False,0.0,0.0,0.0,0,rider,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,127
,True,0.7703488372093024,0.0016619854141026735,250,,False,,,,0,rider,0.1,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,127
0.999,True,0.17197463030796362,0.017004095017910004,126,0.06000000000000005,False,0.21717171717171718,0.07692307692307693,0.06896551724137931,0,rider,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,127
0.998,True,0.22454798288131622,0.013678381219506264,126,0.055999999999999994,False,0.2727272727272727,0.09401709401709402,0.06896551724137931,0,rider,0.2,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,127
0.999,True,0.17197463030796362,0.017004095017910004,126,0.06000000000000005,False,0.21717171717171718,0.07692307692307693,0.06896551724137931,0,rider,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,127
,True,0.7703488372093024,0.0016619854141026735,250,,False,,,,0,rider,0.2,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,127
1.0,True,0.0,1.0,165,0.0,False,0.0,0.0,0.0,0,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
1.0,True,0.0,1.0,165,0.0,False,0.0,0.0,0.0,0,bicycle,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.999,True,0.08958793731521004,0.029725775122642517,165,0.10000000000000003,False,0.1306532663316583,0.016129032258064516,0.0,0,bicycle,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,180
,True,0.5318877551020408,0.0068746814504265785,250,,False,,,,0,bicycle,0.05,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,180
0.997,True,0.1281038994675358,0.022880561649799347,165,0.10400000000000004,False,0.1934673366834171,0.02258064516129032,0.0,0,bicycle,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.998,True,0.11818603954967591,0.025192396715283394,165,0.10000000000000003,False,0.17336683417085427,0.01935483870967742,0.0,0,bicycle,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.996,True,0.14175753539389901,0.021385742351412773,165,0.10800000000000004,False,0.2185929648241206,0.025806451612903226,0.0,0,bicycle,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,180
,True,0.5318877551020408,0.0068746814504265785,250,,False,,,,0,bicycle,0.1,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,180
0.988,True,0.2149412372139645,0.016652122139930725,165,0.09600000000000003,False,0.31909547738693467,0.054838709677419356,0.0,0,bicycle,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.987,True,0.2182529255256528,0.016354002058506012,165,0.10400000000000004,False,0.32914572864321606,0.054838709677419356,0.0,0,bicycle,0.2,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.987,True,0.2182529255256528,0.016354002058506012,165,0.10400000000000004,False,0.32914572864321606,0.054838709677419356,0.0,0,bicycle,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,180
,True,0.5318877551020408,0.0068746814504265785,250,,False,,,,0,bicycle,0.2,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,180
1.0,True,0.0,1.0,165,0.0,False,0.0,0.0,0.0,0,bicycle,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
1.0,True,0.0,1.0,165,0.0,False,0.0,0.0,0.0,0,bicycle,0.05,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
1.0,True,0.0,1.0,165,0.0,False,0.0,0.0,0.0,0,bicycle,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,180
,True,0.6415816326530612,0.0068746814504265785,250,,False,,,,0,bicycle,0.05,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,180
0.999,True,0.13071916299189026,0.029725775122642517,165,0.10000000000000003,False,0.18090452261306533,0.02903225806451613,0.0,0,bicycle,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.998,True,0.14992557947103402,0.025192396715283394,165,0.10000000000000003,False,0.2185929648241206,0.04516129032258064,0.0,0,bicycle,0.1,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.999,True,0.13071916299189026,0.029725775122642517,165,0.10000000000000003,False,0.18090452261306533,0.02903225806451613,0.0,0,bicycle,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,180
,True,0.6415816326530612,0.0068746814504265785,250,,False,,,,0,bicycle,0.1,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,180
0.994,True,0.19863156752484817,0.01946701481938362,165,0.10400000000000004,False,0.30402010050251255,0.07419354838709677,0.0,0,bicycle,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.987,True,0.2769686652097719,0.016354002058506012,165,0.10400000000000004,False,0.38944723618090454,0.1064516129032258,0.0,0,bicycle,0.2,0.5,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,180
0.994,True,0.19863156752484817,0.01946701481938362,165,0.10400000000000004,False,0.30402010050251255,0.07419354838709677,0.0,0,bicycle,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half,180
,True,0.6415816326530612,0.0068746814504265785,250,,False,,,,0,bicycle,0.2,0.5,argmax,segformer_b2_cityscapes,cityscapes_val_half,180
0.998,True,0.06604391499644337,0.04713668301701546,204,0.06800000000000006,False,0.08819538670284939,0.014705882352941176,0.0,1,person,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.999,True,0.04590145986624315,0.05465685576200485,204,0.06000000000000005,False,0.06784260515603799,0.012605042016806723,0.0,1,person,0.05,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.998,True,0.06604391499644337,0.04713668301701546,204,0.06800000000000006,False,0.08819538670284939,0.014705882352941176,0.0,1,person,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,198
,True,0.5261584454409567,0.012605478055775166,250,,False,,,,1,person,0.05,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,198
0.989,True,0.16535420211310303,0.032535407692193985,204,0.06399999999999995,False,0.18046132971506107,0.03571428571428571,0.0,1,person,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.995,True,0.11058691738258301,0.03866644948720932,204,0.07600000000000007,False,0.12890094979647218,0.025210084033613446,0.0,1,person,0.1,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.988,True,0.16947630549991233,0.031916506588459015,204,0.06399999999999995,False,0.18588873812754408,0.03571428571428571,0.0,1,person,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,198
,True,0.5261584454409567,0.012605478055775166,250,,False,,,,1,person,0.1,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,198
0.966,True,0.26108829405102096,0.025192629545927048,204,0.06000000000000005,False,0.3147896879240163,0.06302521008403361,0.0,1,person,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.973,True,0.24018342957997998,0.026589304208755493,204,0.06,False,0.28493894165535955,0.052521008403361345,0.0,1,person,0.2,0.1,pixel_crc,segformer_b2_cityscapes,cityscapes_val_half,198
0.965,True,0.26137664468539235,0.025024279952049255,204,0.06400000000000006,False,0.31614654002713705,0.06302521008403361,0.0,1,person,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half,198
,True,0.5261584454409567,0.012605478055775166,250,,False,,,,1,person,0.2,0.1,argmax,segformer_b2_cityscapes,cityscapes_val_half,198
