lam,lam_index,feasible,region_fnr,marked_area_fraction,n_test_images,n_test_components,n_cal_images,temperature,seed,class_name,alpha,rho,method,model,scheme
0.989953842097216,333,True,0.13933832161104887,0.029124222695827484,165,784,180,1.6,0,bicycle,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9742960421723114,265,True,0.21301452755998213,0.020087458193302155,165,784,180,1.6,0,bicycle,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9739384645000111,264,True,0.21685291139836596,0.01998232863843441,165,784,180,1.6,0,bicycle,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9837070396736027,298,True,0.08539887920434877,0.046135712414979935,204,1338,198,1.6,1,person,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9820526637316748,291,True,0.09418739461051123,0.04454552382230759,204,1338,198,1.6,1,person,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9631871026357468,239,True,0.16093318739797066,0.03418289124965668,204,1338,198,1.6,1,person,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9616292754507721,236,True,0.1664478932803236,0.03366337716579437,204,1338,198,1.6,1,person,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9255268026094011,188,True,0.26364194474481,0.026073623448610306,204,1338,198,1.6,1,person,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9223752883371308,185,True,0.2691311505281334,0.025648698210716248,204,1338,198,1.6,1,person,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9908798916064409,340,True,0.07332553134668719,0.05685260891914368,204,1338,198,1.6,1,person,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9898140861194589,332,True,0.08660751080513723,0.054647982120513916,204,1338,198,1.6,1,person,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.981293178596342,288,True,0.13445184602692342,0.04387760907411575,204,1338,198,1.6,1,person,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9807690827108985,286,True,0.13752499836478166,0.043434884399175644,204,1338,198,1.6,1,person,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9540801987163131,223,True,0.25880292147153067,0.03147469460964203,204,1338,198,1.6,1,person,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9540801987163131,223,True,0.25880292147153067,0.03147469460964203,204,1338,198,1.6,1,person,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.996018928294465,400,True,0.08186355311355313,0.025744590908288956,120,336,133,1.6,1,rider,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9957927337161555,396,True,0.08186355311355313,0.025088708847761154,120,336,133,1.6,1,rider,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.992273194149043,352,True,0.11855616605616605,0.01864130236208439,120,336,133,1.6,1,rider,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9921657035723379,351,True,0.11855616605616605,0.018511135131120682,120,336,133,1.6,1,rider,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9805015540024196,285,True,0.24148636086136085,0.011564075015485287,120,336,133,1.6,1,rider,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9785216952586947,278,True,0.24843080530580533,0.010994871146976948,120,336,133,1.6,1,rider,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9974765192275195,433,True,0.08067307692307693,0.03156119957566261,120,336,133,1.6,1,rider,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9973331413354786,429,True,0.08126831501831502,0.030809560790657997,120,336,133,1.6,1,rider,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9942983572771925,374,True,0.13133394383394384,0.02169899269938469,120,336,133,1.6,1,rider,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9937194164118668,367,True,0.1464728327228327,0.02069307677447796,120,336,133,1.6,1,rider,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9863855531753405,311,True,0.24903235653235653,0.013924946077167988,120,336,133,1.6,1,rider,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9856120142174416,307,True,0.25181013431013427,0.013534696772694588,120,336,133,1.6,1,rider,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.994678917407332,379,True,0.05552658020190488,0.036613740026950836,154,790,191,1.6,1,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9938055892492322,368,True,0.05900290186004471,0.03433637320995331,154,790,191,1.6,1,bicycle,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9832505712397356,296,True,0.12412005382784604,0.02251928672194481,154,790,191,1.6,1,bicycle,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9830175634753826,295,True,0.12563520534299755,0.022388936951756477,154,790,191,1.6,1,bicycle,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9605542697924722,234,True,0.22259466723752436,0.01585935242474079,154,790,191,1.6,1,bicycle,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9588850278895478,231,True,0.22634092098377812,0.015601982362568378,154,790,191,1.6,1,bicycle,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.99667340446706,413,True,0.05208696426228895,0.04450945183634758,154,790,191,1.6,1,bicycle,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.996484395594717,409,True,0.05208696426228895,0.04351051151752472,154,790,191,1.6,1,bicycle,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9910050241846996,341,True,0.13746781717560938,0.02933434396982193,154,790,191,1.6,1,bicycle,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.989953842097216,333,True,0.13986938386289036,0.02799154631793499,154,790,191,1.6,1,bicycle,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9742960421723114,265,True,0.217587012554545,0.018835216760635376,154,790,191,1.6,1,bicycle,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9735759124267805,263,True,0.22284366066833597,0.018624283373355865,154,790,191,1.6,1,bicycle,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9878101040107513,319,True,0.05927556493058056,0.053239140659570694,207,1445,195,1.55,2,person,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9861961573539711,310,True,0.07355540747129267,0.05111293867230415,207,1445,195,1.55,2,person,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9735759124267805,263,True,0.1088411407038858,0.04126521199941635,207,1445,195,1.55,2,person,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9735759124267805,263,True,0.1088411407038858,0.04126521199941635,207,1445,195,1.55,2,person,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.944281425106807,209,True,0.19100198594728288,0.032198723405599594,207,1445,195,1.55,2,person,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9402964713416163,204,True,0.19837689096711547,0.03144799545407295,207,1445,195,1.55,2,person,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9926886091651659,356,True,0.05786863852365415,0.06285067647695541,207,1445,195,1.55,2,person,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.992273194149043,352,True,0.058558769648567884,0.06174648925662041,207,1445,195,1.55,2,person,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.984794524702675,303,True,0.12029156628474616,0.04951288551092148,207,1445,195,1.55,2,person,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9830175634753826,295,True,0.12950469615004995,0.04774639010429382,207,1445,195,1.55,2,person,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9670390287822542,247,True,0.18152851300762637,0.038374967873096466,207,1445,195,1.55,2,person,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9665804959973886,246,True,0.18354139545529144,0.03820133954286575,207,1445,195,1.55,2,person,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9979203033128963,447,True,0.04259323353811543,0.03280229866504669,127,387,126,1.55,2,rider,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9963859013736038,407,True,0.07678895907242365,0.02593783289194107,127,387,126,1.55,2,rider,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9935434577096535,365,True,0.08436878082547374,0.019990263506770134,127,387,126,1.55,2,rider,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9935434577096535,365,True,0.08436878082547374,0.019990263506770134,127,387,126,1.55,2,rider,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9856120142174416,307,True,0.1548787170834415,0.013669256120920181,127,387,126,1.55,2,rider,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.985208916118318,305,True,0.16387759222404893,0.013487251475453377,127,387,126,1.55,2,rider,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9987526164857571,484,True,0.049623604741714976,0.04024379700422287,127,387,126,1.55,2,rider,0.05,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9979488378211744,448,True,0.06209079634276484,0.03298985958099365,127,387,126,1.55,2,rider,0.05,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9965802055748629,411,True,0.09083672233278534,0.02656848356127739,127,387,126,1.55,2,rider,0.1,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9957927337161555,396,True,0.09739840212281158,0.024254318326711655,127,387,126,1.55,2,rider,0.1,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9907530182606178,339,True,0.15987809216155674,0.01689431443810463,127,387,126,1.55,2,rider,0.2,0.5,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9903617097637603,336,True,0.16493995942814843,0.0165640190243721,127,387,126,1.55,2,rider,0.2,0.5,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.996484395594717,409,True,0.030078720252130656,0.04226378723978996,173,873,172,1.55,2,bicycle,0.05,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.995963546070324,399,True,0.0327280458783349,0.04010777175426483,173,873,172,1.55,2,bicycle,0.05,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9900916805510723,334,True,0.07636924732300454,0.028352122753858566,173,873,172,1.55,2,bicycle,0.1,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.989672385942386,331,True,0.07636924732300454,0.02790062502026558,173,873,172,1.55,2,bicycle,0.1,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
0.9674912702614565,248,True,0.17847722284138468,0.01807698793709278,173,873,172,1.55,2,bicycle,0.2,0.1,region_crc,segformer_b2_cityscapes,cityscapes_val_half
0.9661155843860797,245,True,0.19141669185021787,0.01780599169433117,173,873,172,1.55,2,bicycle,0.2,0.1,heuristic,segformer_b2_cityscapes,cityscapes_val_half
